project_name,state,Latitude,Longitude,catchment_area_sq_km,catchment_outlet_lat,catchment_outlet_lon,commissioning_year,starting_year,installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,seismic_zone,forest_area_div,dist_road,contract type,contract retendered,tunnel length,elevation,damlength,category,transmission line length cktkm,landowner_displaced,funder,glof_risk,source,catchment_source,PRCPTOT_mean,PRCPTOT_max,RX1day_mean,RX1day_max,RX5day_mean,RX5day_max,R10mm_mean,R10mm_max,R20mm_mean,R20mm_max,R25mm_mean,R25mm_max,R30mm_mean,R30mm_total,R100mm_mean,R100mm_total,CDD_mean,CDD_max,CWD_mean,CWD_max,R95p_mean,R95p_max,R99p_mean,R99p_max,SDII
ghanvi,himachal,31.5328,77.7511,82,31.72,77.89,2000,1993,32.5,0,112.5576,173,3.0,7.0,V,12.48,5,IR,YES,1400,1943,0,small,,0,SG+PFC,Medium/High (Elevation > 1500m),https://webdocuploader.hpseb.in/uploader/download2.php?link=/portal/noti/A.A.R.%202010-11.pdf ; https://planning.hp.gov.in/plg_PlanFormulation/ANNUAL%20PLAN%202006-07.pdf ; https://documents1.worldbank.org/curated/en/360181468042340258/pdf/E14650VOL-03.pdf ; http://himachalpr.gov.in/OnePressRelease.aspx?Language=1&ID=594 ; https://hppcb.nic.in/Luhari_EIA.pdf ; https://hpaldc.org/TMR/gen/genSchemes.htm,HIMURJA / HP power sector docs (Ghanvi nala catchment),1207.2874039411545,1694.9794273376465,78.04507827758789,165.23484802246094,172.21861616522074,248.75759887695312,36.875,50.0,15.875,26.0,10.875,19.0,7.375,59.0,0.125,1.0,55.625,97.0,15.625,25.0,353.6529746055603,651.9394969940186,104.18086814880371,238.33184814453125,10.166630770030775
larji,himachal,31.7214,77.2258,5498,31.9014,77.13,2007,1988,126.0,26.5,291.0630535,1461,5.0,19.5,V,6.6,0,IR,YES,4400,930,100,large,15.4,0,SG+PFC,Low/Unknown,https://webdocuploader.hpseb.in/uploader/download2.php?link=/portal/petition/Larji_Petition_78_Rev.pdf ; https://cccorpn.com/portfolio/larji-hydro-electric-project-india/ ; https://www.researchgate.net/publication/382356797_Seismo-tectonic_model_of_the_Kullu-Larji-Rampur_window_NW_Himalaya_A_study_based_on_structural_analysis_seismicity_and_localized_stress ; https://hppwd.hp.gov.in/sites/default/files/documents/DM2015.pdf.pdf ;  ; https://www.hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/Lariji.pdf ; https://forestsclearance.nic.in/DownloadPdfFile.aspx?FileName=0_0_21127122712151Jointinspectionreportmandiandkullu.pdf&FilePath=../writereaddata/Addinfo/ ; file:///C:/Users/User/Downloads/Larji_Petition_78_Rev.pdf,HPSEB / env clearance (Beas above Larji),1163.5282120049,1606.9884819984436,54.50780878067017,117.56949615478516,142.92422337532042,261.95049142837524,37.75,57.0,12.5,24.0,7.3,15.0,5.0,100.0,0.05,1.0,53.0,98.0,27.1,76.0,271.68100891113284,625.3224487304688,89.27695293426514,393.34339141845703,8.228629504985149
tehri,uttarakhand,30.3786,78.4811,7293,30.378,78.482,2006,1978,1000.0,260,477.352734,8392,5.0,28.0,V,4705,0,IR+BILATERAL,NO,3660,816,575,mega,200,5291,CG+SG+USSR,Low/Unknown,https://lib.icimod.org/records/b8tjq-e8e90 ; https://www.google.com/search?q=Act+as+an+expert+Hydroelectric+Project+Data+Researcher.+Your+task+is+to+perform+a+deep+web+search+and+compile+a+highly+accurate%2C+verified+technical+profile+for+the+following+project%3A%0A%0AProject+to+Research%3A+tehri%0A%0A%0A%0AStrict+Source+Constraints%3A%0APrioritize+and+cross-reference+data+ONLY+from+highly+reliable+authorities%3A%0A1.+Central+Electricity+Authority+%28CEA%29+reports+or+hydro+executive+summaries+%28cea.nic.in%29%0A2.+PARIVESH+Portal+%2F+Ministry+of+Environment%2C+Forest+and+Climate+Change+%28parivesh.nic.in%29%0A3.+Owner%2FDeveloper+official+websites+or+Detailed+Project+Reports+%28e.g.%2C+NHPC%2C+SJVN%2C+NTPC%29%0A4.+Peer-reviewed+civil+engineering+research+papers+%28ResearchGate%2C+Elsevier%2C+Springer%29+no+wikipedia%0A%0APlease+output+the+gathered+data+in+a+single-row+Markdown+table+matching+these+exact+column+headers%3A%0A%0A%7C+project_name+%7C+state+%7C+installed_cap+%7C+dam_height+%7C+initial_cost+%7C+final_cost+%7C+planned_dur+%7C+actual_dur+%7C+rainfall+%7C+seismic_zone+%7C+forest_area_div+%7C+geological_prob+%7C+dist_road+%7C+contract_type+%7C+contract_retendered+%7C+tunnel_length+%7C+elevation+%7C+dam_length+%7C+category+%7C+transmission_line+%7C+landowners+displaced+%7C+funder+%0A%0AData+Formatting+%26+Rules%3A%0A-+state%3A+Indian+state+where+it%27s+located.%0A-+installed_cap%3A+Total+capacity+in+Megawatts+%28MW%29.%0A-+dam_height%3A+In+meters+%28m%29.%0A-+initial_cost+%26+final_cost%3A+In+INR+Crores+%28indicate+if+it%27s+an+estimate%29.%0A-+planned_dur+%26+actual_dur%3A+In+years.%0A-+rainfall%3A+Average+annual+rainfall+in+mm.%0A-+seismic_zone%3A+Roman+numeral+%28e.g.%2C+IV+or+V%29.%0A-+forest_area_div%3A+Total+forest+area+diverted+%28specify+Hectares%29.%0A-+geological_prob%3A+Short+summary+of+main+issues+%28e.g.%2C+%22yes-landslide%22%2C+%22shear-zone%22%2C+%22water-ingress%22%2C+or+%22no%22%29.%0A-+dist_road%3A+Distance+to+nearest+national%2Fstate+highway+or+major+road+%28km%29.%0A-+contract_type%3A+EPC%2C+Item+Rate+%28IR%29%2C+etc.%0A-+contract_retendered%3A+YES%2C+NO%2C+or+NO-LD+%28Liquidated+Damages%29.%0A-+tunnel_length%3A+Total+length+of+Head+Race+Tunnel+%2F+Tail+Race+Tunnel+in+meters+or+km.%0A-+elevation%3A+River+bed+or+crest+elevation+in+meters+above+mean+sea+level.%0A-+dam_length%3A+Crest+length+in+meters+%28m%29.%0A-+category%3A+Large%2C+Mega%2C+Small%2C+etc.%0A-+transmission_line%3A+Length+of+evacuation+lines+in+km.%0A%0AImportant+Note+on+Uncertainty%3A+%0AIf+a+value+is+provisional%2C+highly+debated+between+sources%2C+or+an+estimate%2C+mark+it+with+an+asterisk+%28*%29+and+provide+a+brief+footnote+explaining+the+discrepancy+below+the+table.+If+a+specific+field+cannot+be+verified+through+official+documentation%2C+leave+it+as+%27N%2FA%27.+Do+not+hallucinate+data.+provide+links+adjacent+to+all+your+data+for+every+data+colleceted+sources+are+most+important&sourceid=chrome&ie=UTF-8&aep=48&cud=0&qsubts=1781762312102&source=chrome.crn.obic&mstk=AUtExfASlX_L6ZWXA9Qw_PEU_0fLPfD-NgnKLoSHzSxdzwqkL4-ltK7ziydzc2lXS6FZcSVX1FLHdG4UGoe41aXP9KPBCQv7tbhBa-_dY04im4g3BRE9_bjdAepCFIc2x_XAZ2ldwn4lDGl0S3fHfzLcW9727KKrYz4CDQL_9MuFcZ9sJkIpq9rfuQmqjA0R9duzpbYC-v62KWMnvjszJw_U6X1t-MJjy2E6dePi31h9U6DznWODn_NGBJkcJw&csuir=1&udm=50 ; https://www.igs.org.in/time-capsule/geological-and-geotechnical-aspects-and-challenges-during-construction-of-the-tehri-hydropower-project ;  https://www.hydropower.org/sediment-management-case-studies/india-tehri ; https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&sp=SszHvQ7GjbD%2BAohbU9rYoZQ%3D%3D ; https://www.uttarakhandirrigation.com/design-main-designs-carried-out ; ,CWE Journal / THDC (CWC data) — Bhagirathi above Tehri dam,1351.2155954056773,2052.8765227794647,69.89852254144077,166.97007751464844,160.97457992157032,342.9964623451233,44.827586206896555,68.0,17.93103448275862,33.0,11.689655172413794,25.0,8.137931034482758,236.0,0.1724137931034483,5.0,57.172413793103445,98.0,33.86206896551724,74.0,298.0249583803374,810.3336601257324,100.66895425730738,404.70772552490234,10.51388577052982
koteshwar,uttarakhand,30.2814,78.6828,7691,30.43,78.53,2011,2000,400.0,97.5,1572.92587,2717,5.0,11.5,IV/V,87,0,IR,YES,593,612,300,large,38.55,0,CG+DEBT,Low/Unknown,https://www.researchgate.net/publication/338620616_Landslide_Risk_Mapping_of_Koteshwar_Reservoir_Rim_Region ; https://forestsclearance.nic.in/DownloadPdfFile.aspx?FileName=6111912131213LNJHGCBA.pdf&FilePath=../writereaddata/FormA/Wildlife/ ; https://www.researchgate.net/publication/377889924_Geological_and_Geotechnical_Problems_Encountered_during_Construction_of_Butterfly_Valve_Chamber_and_Penstock_Assembly_Chamber_of_Tehri_Pumped_Storage_Plant ; https://documents1.worldbank.org/curated/en/825981468044349058/pdf/502980PAD0P0960e0only0900BOX361487B.pdf ; https://www.researchgate.net/publication/349768071_Landslide_Susceptibility_Zonation_Mapping_Of_Koteshwar_Reservoir_Area_Using_Modified_Bis_Code_And_Ahp_Methods ; https://thdc.co.in/sites/default/files/2022-09/rehab-tehri.pdf;,Wikipedia citing THDC DPR — Bhagirathi above Koteshwar (below Tehri),1244.3909539282322,1719.3716996908188,70.33695443471272,150.34197998046875,155.01956009864807,244.16174793243408,40.833333333333336,54.0,17.0,25.0,12.0,20.0,7.833333333333333,94.0,0.08333333333333333,1.0,55.583333333333336,98.0,23.25,36.0,325.1251947085063,758.9283103942871,105.28505102793376,264.7142524719238,10.560602154977925
dhauli ganga,uttarakhand,29.9744,80.6014,2157,30.068,80.542,2005,1996,280.0,56,617.7265222,1749,8.0,9.0,V,176.5,0,IR+SPLIt,NO,5395,1348,315,large,330,0,JICA,Low/Unknown,http://164.100.60.165/meetings/TEST/TEST29/TEST29_AG.pdf ; https://cercind.gov.in/2022/orders/284-GT-2020.pdf ; https://www.greentribunal.gov.in/sites/default/files/news_updates/1726633662.pdf ; https://www2.jica.go.jp/en/evaluation/pdf/2011_ID-P107_4_f.pdf,NHPC env clearance (Dhauliganga above Khet-Tawaghat),2421.379965531826,3647.4426995515823,100.7199951171875,177.26593017578125,241.77620275020598,416.2953071594238,74.1,104.0,39.8,68.0,29.1,49.0,22.2,222.0,1.0,10.0,48.8,87.0,34.4,58.0,725.031169128418,1731.8706512451172,228.16347122192383,773.9095306396484,16.229088240829935
tanakpur,uttarakhand,29.0714,80.1128,12792,29.075,80.11,1992,1984,94.2,26.3,198.6009821,379,5.0,8.0,IV/V,163.5,2,IR,NO,0,246,475,large,44.57,0,CG,Low/Unknown,https://uppcl.org/uppcl-pdf/PPA-Salal-Tanakpur-Chamera_070919.pdf ; https://www.nhpcindia.com/assests/pzi_public/pdf_link/6450a73eb860b.pdf ; https://cercind.gov.in/160606/76_2005.pdf ;  https://www.nhpcindia.com/assests/pzi_public/gallery/16889691701.pdf ; https://www.uttarakhandirrigation.com/tanakpur ; https://www.nhpcindia.com/welcome/project_detail/8/2.html;,NHPC / CWC Sharda basin data (Sharda/Mahakali above Tanakpur),1316.8027320570416,1811.6618304252625,116.67023849487305,208.4765167236328,254.38727037111917,419.6341052055359,36.888888888888886,49.0,18.77777777777778,29.0,13.777777777777779,19.0,10.444444444444445,94.0,0.6666666666666666,6.0,55.666666666666664,90.0,20.333333333333332,29.0,390.0538092719184,756.9050331115723,153.11334906684027,342.64894104003906,11.863087676189563
maneri bhali ,uttarakhand,30.7325,78.4514,4693,30.8014,78.5014,2008,1976,304.0,39,4189.140207,1714,6.0,32.0,V,104.5,0,IR,YES,16000,1093,127,large,63,785,PFC,Low/Unknown,https://cag.gov.in/webroot/uploads/download_audit_report/2009/Uttarakhand_Performance_Audit_2009.pdf ; https://sbb.uk.gov.in/about-department/about-uttarakhand/ ; https://moef.gov.in/uploads/2017/06/Chapter%20F%20-%20Energy.pdf ;https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2025/04/2025043089272476.pdf ; https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2026/01/20260108183888341.pdf,CWE Journal / UJVNL (Bhagirathi above Maneri Bhali I dam),1432.6862928469975,2279.1385164260864,65.86570098183371,165.85406494140625,157.16600209293944,351.4263381958008,49.21212121212121,76.0,19.636363636363637,39.0,12.909090909090908,26.0,8.363636363636363,276.0,0.18181818181818182,6.0,55.121212121212125,98.0,34.60606060606061,65.0,303.4367694276752,868.4279747009277,98.79275767008464,538.0687866210938,10.452940009717205
ramganga,uttarakhand,29.5214,78.7611,3134,29.535,78.988,1974,1961,198.0,128,15.60417212,172,10.0,13.0,V,,3,IR,NO,1262,365,630,large,73,0,SG,Low/Unknown,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1099&context=icchge ; https://www.uttarakhandirrigation.com/hydroelectric-projects-on-ramganga ; https://cea.nic.in/wp-content/uploads/2020/05/exe_summary-06-7.pdf ; https://cea.nic.in/wp-content/uploads/he___td/2025/03/Final_QPR_Oct_Dec24.pdf ; https://nmcg.nic.in/pdf/Ramganga_RBM_Plan-merged.pdf ; https://www.scribd.com/document/540147485/CASE-STUDY-RAMGANGA-DAM#google_vignette ; https://cea.nic.in/ ; https://ramganga.org.in/history-of-organization.php;,CWC / Upper Ganga Basin Org (cwc.gov.in) — Ramganga above Kalagarh,1081.269734791347,1550.6879239082336,108.64476830618722,156.06829833984375,214.16491637911116,343.38962519168854,30.214285714285715,45.0,15.357142857142858,23.0,11.928571428571429,18.0,9.285714285714286,130.0,1.0,14.0,76.21428571428571,110.0,12.714285714285714,24.0,268.95812552315846,595.8574676513672,67.19781276157924,264.10284423828125,14.625870808771843
tiloth,uttarakhand,30.7411,78.4422,25920,30.128,77.86,1984,1973,90.0,39,18.79089828,79.34,5.0,11.0,V,,0,IR,NO,8630,1275,127,large,12,0,SG,Low/Unknown,https://moef.gov.in/uploads/2017/06/Chapter%20F%20-%20Energy.pdf ; https://cea.nic.in/wp-content/uploads/he___td/2025/03/Final_QPR_Oct_Dec24.pdf ; https://ujvnl.com/document/essd-maneri-dam-feb-2021-draft-25-2-2021.pdf ; https://moef.gov.in/uploads/2017/06/Chapter%20F%20-%20Energy.pdf ; https://ujvnl.com/document/tarrif-petitions-mb1-2018-annexure-1.pdf ; https://www.casemine.com/judgement/in/63940e209a341c7fcf9c5739 ; https://moef.gov.in/uploads/2017/06/Chapter%20F%20-%20Energy.pdf ; https://www.uttarakhandirrigation.com/maneri-bhali ; https://mospi.gov.in/sites/default/files/publication_reports/FR_Mar_2024.pdf,UJVNL operational data (Yamuna above Tiloth/Dakpathar),1127.023638933897,1708.9280017614365,45.605247020721436,89.02596282958984,110.07622080047925,220.20263671875,37.5,58.0,8.916666666666666,21.0,5.583333333333333,17.0,3.0833333333333335,37.0,0.0,0.0,46.083333333333336,69.0,50.0,99.0,199.63898833592734,716.197416305542,52.024187088012695,379.89014434814453,7.439099926956416
vyasi,uttarakhand,30.5214,77.8711,24780,30.358,77.97,2022,2013,120.0,86,152.3518679,1307,5.75,8.6,IV,768.155,0,EPC,YES,2700,631,204,large,71,335,PFC,Low/Unknown,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1544111&reg=48&lang=2 ; https://cea.nic.in/wp-content/uploads/hepr/2022/03/State_Power_3.pdf ;  https://parivesh.nic.in/utildoc/22300132_1699353939812.pdf ; https://ujvnl.com/document/Petition%20for%20approval%20of%20Provisional%20Tariff%20for%20Vyasi%20Hydro%20Power%20Project%20(2x60%20MW)_18.10.2022.pdf ; https://cdnbbsr.s3waas.gov.in/s35679fb79d04e9ed91e292858c54df4e8/uploads/2025/10/20251013426679284.pdf ; https://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=yp66tKwguLNoYWTKbeDynqS8T5qyTBXcxQDKGxgKiwXPg8Q4+5sFQ7qSIrSxOsj6&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzWF1OLE6RXe5MiAhSH8vdQ1 ; https://ptcul.org/transmission-lines-completed-project ; https://www.uttarakhandirrigation.com/lakhwar-vyasi-project ; https://parivesh.nic.in/utildoc/22300132_1699353939812.pdf ; https://www.pfcindia.co.in/ensite/Home/VS/4;,UJVNL DPR (Yamuna above Vyasi/Juddo),1154.1542294502258,1550.8672633171082,59.619416046142575,121.26455688476562,142.42451310157776,269.2448196411133,36.8,54.0,13.9,19.0,8.1,13.0,5.1,51.0,0.1,1.0,46.5,80.0,31.6,44.0,246.489422416687,552.3832015991211,62.25219039916992,198.30725860595703,8.671331551091104
madhyamaheshwar,uttarakhand,30.6412,79.1311,73,30.58,79.19,2023,2012,15.0,3.5,95.03867191,114.5,4.0,11.0,V,4.85,0.5,TURNKEY,YES,298,1823,21,small,14,0,UJVN,Medium/High (Elevation > 1500m),https://nmcg.nic.in/writereaddata/fileupload/ngtmpr/1_Uttarakhand%20-%20MPR%20Feb%202025.pdf ; https://www.scribd.com/doc/205672765/MM-layout ; https://ujvnl.com/tenders-archieve ; https://ujvnl.uk.gov.in/operational-plants/ ;,UJVNL SHP data (Madhyamaheshwar R catchment),1572.097321420908,2006.712076306343,77.4215259552002,103.7229232788086,169.04257146269083,223.7970781326294,52.75,65.0,25.333333333333332,38.0,17.666666666666668,30.0,12.333333333333334,148.0,0.08333333333333333,1.0,51.583333333333336,80.0,22.083333333333332,47.0,486.0644515355428,899.3230209350586,173.52235253651938,411.1219291687012,12.703816738754812
singoli bhatwari,uttarakhand,30.4914,79.0511,1324,30.598,79.108,2020,2008,99.0,24.5,873.6062168,1696.93,4.0,12.0,IV,16.81,0.2,EPC,NO,11.89,12945,127,large,91.47,194,RENEWJAL,Medium/High (Elevation > 1500m),https://www.powermin.gov.in/static/uploads/2025/08/92b258b7c181f23a14b7fa4ee8e9f042.pdf ; https://environmentclearance.nic.in/writereaddata/modification/previousTOR/210420173X10Q5LRFORM.pdf ;  https://cea.nic.in/wp-content/uploads/ptcc_route_app/2020/07/UTR-26.pdf ; https://cea.nic.in/wp-content/uploads/hpi/2026/04/In_Operation_HEPs__PSPs_as_on_30.04.2026-1.pdf ; https://ptcul.org/document/business_plan_of_ptcul.pdf ;  https://www.cercind.gov.in/2024/orders/478-TT-2020.pdf,L&T / env clearance (Mandakini above Singoli Bhatwari),1095.7807448277106,1616.868017077446,68.35489302415114,138.85179138183594,145.52976373525766,248.27159214019775,35.46153846153846,56.0,16.0,23.0,10.923076923076923,16.0,8.153846153846153,106.0,0.07692307692307693,1.0,57.84615384615385,90.0,13.076923076923077,28.0,298.0861402658316,610.4470710754395,89.0953615628756,355.58544540405273,10.924194541994048
Tapovan Vishnugad,Uttarakhand,30.4925,79.6311,3100,30.578,79.62,2025,2010,520.0,22,4080.118084,7000*,5.0,15.0,V,157,2,EPC,YES,12000,1800*,200*,Mega,50*,52*,ADB/NTPC,High (History/Prone),https://ntpc.co.in/power-generation/hydro-stations,NTPC DPR via Power-Technology.com (Dhauliganga above Tapovan),1557.0223857402802,1960.9372022151947,80.42723897298177,187.1902008056641,180.6580295443535,328.11077880859375,52.666666666666664,65.0,24.6,34.0,16.866666666666667,28.0,10.933333333333334,164.0,0.26666666666666666,4.0,50.333333333333336,83.0,28.533333333333335,53.0,548.4676005045573,974.6461067199707,214.135942586263,460.21926498413086,12.032630492583309
Vishnugad Pipalkoti,Uttarakhand,30.4311,79.4325,12100,30.4758,79.4317,2026,2016,444.0,65,2847.769777,3860,5.0,10.0,V,80,1,EPC,NO,13400,1260*,114*,Large,30*,265,WB,Low/Unknown,https://thdc.co.in/en/projects/hydro/vishnugad-pipalkoti-he-project,THDC DPR / World Bank (Alaknanda above Vishnugad Pipalkoti),1283.6738906701405,1501.747730731964,51.15513949924045,119.74386596679688,119.76075831055641,174.11444473266602,45.22222222222222,50.0,14.777777777777779,21.0,9.333333333333334,15.0,4.777777777777778,43.0,0.1111111111111111,1.0,52.77777777777778,86.0,39.0,62.0,314.9995409647624,510.2532329559326,68.4817869398329,253.62340927124023,9.082598283043447
Shrinagar,Uttarakhand,30.2214,78.8028,7589,30.2214,78.7917,2015,2005,330.0,90,1870.7666,4500,6.0,10.0,IV,330,0,EPC,YES,0*,600*,248,Large,20*,350*,CONSORTIUM,Low/Unknown,http://www.gvk.com/ourbusiness/energy/energy.aspx,GVK env clearance (Alaknanda above Shrinagar),1196.3890747373755,1689.865690112114,79.26369927146219,158.4005584716797,172.4599976756356,272.9304552078247,38.09090909090909,52.0,16.545454545454547,26.0,11.181818181818182,19.0,8.363636363636363,92.0,0.18181818181818182,2.0,50.63636363636363,83.0,22.636363636363637,32.0,331.7476237903942,702.0891380310059,87.20977089621805,226.15553283691406,10.976046557223627
Naitwar Mori,Uttarakhand,31.0614,78.0525,1768,30.9867,78.2517,2023,2017,60.0,30.5,680.4,1100,4.0,6.0,IV,45,5,EPC,NO,4300,1400*,50*,Large,37,12*,PFC+SJVN,Low/Unknown,https://sjvn.nic.in/index.php/en/naitwar-mori-hps,SJVN DPR (Tons R above Naitwar Mori),1124.451332773481,1464.2546812295914,61.50941440037319,95.75325775146484,150.513519687312,335.743709564209,38.714285714285715,48.0,13.714285714285714,17.0,9.0,16.0,5.857142857142857,41.0,0.0,0.0,44.57142857142857,73.0,16.142857142857142,32.0,267.0493368421282,600.741886138916,94.78077806745257,455.0773010253906,9.49476396793048
Lata Tapovan,Uttarakhand,30.4914,79.7111,3350,30.7267,79.6783,2026,2016,171.0,35,1766.459563,2500,5.0,10.0,V,46,2,EPC,NO,7500,2000*,80*,Large,15*,10*,NTPC,High (History/Prone),https://ntpc.co.in/power-generation/hydro-stations,NTPC env clearance (Dhauliganga above Lata Tapovan),1629.3691557645798,1960.9372022151947,64.21478017171223,129.94387817382812,163.76992683940463,247.59222030639648,56.55555555555556,65.0,25.0,31.0,17.0,24.0,11.444444444444445,103.0,0.2222222222222222,2.0,46.0,79.0,33.55555555555556,53.0,547.2818012237549,839.9310894012451,172.48266050550671,396.441349029541,11.722080257299135
Lakhwar,Uttarakhand,30.5228,77.9214,2912,30.7517,78.1033,2027,2017,300.0,204,4456.1976,5747,6.0,10.0,IV,768,1,EPC,YES*,3000*,650*,350*,Mega,40*,200*,CG+SG,Low/Unknown,https://ujvnl.com/document/corri3-eio12-27-5-2019.pdf,UJVNL DPR / CWC (Yamuna above Lakhwar dam near Lohari),1620.4751234203577,1995.0140351057053,92.4806170463562,133.5799560546875,211.93602810800076,449.5363578796387,50.5,62.0,25.125,32.0,18.375,21.0,14.5,116.0,0.625,5.0,58.125,85.0,22.375,31.0,447.1881408691406,751.9837608337402,214.74820232391357,398.8065490722656,13.617438011935779
Kishau,Uttarakhand,30.6314,77.8125,4595,30.6667,77.8833,2028,2018,660.0,236,10600.0,12000*,8.0,10.0,IV,2000*,10,EPC,NO*,2000*,800*,500*,Mega,50*,500*,CG+SG,Low/Unknown,https://ujvnl.com/tenders/tenders/tender_10272.pdf,UJVNL DPR (Tons R above Kishau),1510.0971673556737,1940.4182710647583,83.84430694580078,132.01255798339844,197.581812109266,444.48031997680664,48.142857142857146,56.0,22.571428571428573,28.0,14.857142857142858,19.0,10.714285714285714,75.0,0.42857142857142855,3.0,51.42857142857143,75.0,28.285714285714285,53.0,367.89159556797574,779.7089729309082,148.2571258544922,401.04931640625,12.19224933274477
Phata Byung,Uttarakhand,30.5611,79.0414,1125,30.5367,79.1683,2025,2013,76.0,26,506.877733,800,5.0,12.0,V,25,1,EPC,YES,3000*,1600*,60*,Large,15*,5*,LANCO+BANKS,Medium/High (Elevation > 1500m),https://cea.nic.in/hydro-project-monitoring-division/?lang=en,Lanco env clearance (Mandakini above Phata Byung),1190.0951304336388,1411.091129541397,59.522215843200684,106.87744903564452,135.85925016800562,266.3366198539734,39.416666666666664,46.0,16.166666666666668,23.0,10.083333333333334,18.0,7.083333333333333,85.0,0.08333333333333333,1.0,55.75,86.0,21.916666666666668,46.0,296.38396151860553,529.5772132873535,68.21955172220866,213.37658309936523,9.917459420280323
Chibro,Uttarakhand,30.5514,77.8025,4775,30.5533,77.7733,1975,1965,240.0,59.25,233.28,500,6.0,10.0,IV,100*,5,IR,NO*,6200,652,155,Large,20*,100*,SG,High (History/Prone),https://ujvnl.com/document/tarrif-petitions-chibro-2018.pdf,UJVNL operational data (Tons R above Ichari/Chibro),1456.805063843727,2061.5292724370956,84.88413169167258,152.95191955566406,213.1324000954628,428.96543884277344,45.36363636363637,58.0,20.727272727272727,30.0,15.181818181818182,24.0,11.818181818181818,130.0,0.18181818181818182,2.0,62.18181818181818,85.0,27.727272727272727,51.0,444.8977851867676,1088.7745513916016,182.34471130371094,589.8132934570312,13.243682398579338
Khodri,Uttarakhand,30.5014,77.7911,18040,30.365,77.8433,1975,1967,120.0,0,116.64,300,4.0,8.0,IV,50*,5,IR,NO*,6000,500*,0,Large,10*,20*,SG,Low/Unknown,https://ujvnl.com/document/tarrif-petitions-khodri-2018-annexure-1.pdf,UJVNL — Khodri uses Yamuna; catchment = Yamuna above Dakpathar,1142.0557596551048,1471.9125527143478,54.38750881618924,71.273681640625,149.9860030280219,219.369215965271,38.0,54.0,13.222222222222221,18.0,9.0,14.0,6.0,54.0,0.0,0.0,62.888888888888886,85.0,43.666666666666664,74.0,256.3317805396186,549.7366199493408,40.73210906982422,184.89939880371094,8.876081033588896
chilla,uttarakhand,29.9714,78.2211,23100,30.1142,78.2658,1980,1973,144.0,7,15.0,97.76,6.0,7.0,IV/V,0,1,IR,NO,14300,249,565,Large,,0,SG,Low/Unknown,"Barrage on Ganga at Rishikesh, very low head 33m, well-documented. Initial cost Rs15cr est, final Rs97.76cr per Irrigation Dept. Planned 6yr, actual 7yr.",UJVNL / CWC — Chilla draws from Ganga+Alaknanda+Bhagirathi at Rishikesh,1011.0958337932825,1592.893199801445,59.152873039245605,114.5959930419922,142.15574572235346,231.73436814546585,31.875,47.0,11.25,20.0,7.375,18.0,5.625,45.0,0.125,1.0,67.25,84.0,46.0,97.0,243.47298216819763,721.6994781494141,63.779436111450195,375.15288162231445,8.937863724139515
vishnuprayag,uttarakhand,30.5628,79.5714,7090,30.5633,79.58,2006,1997,400.0,28,1154.0,2847,7.0,9.0,V,80,0,BOOT,NO,1100,1800,85,Large,,50,private,High (History/Prone),"JP Associates, BOO. Initial cost Rs1154cr (March 1996 estimate), CEA cleared at Rs1614.66cr, final ~Rs2847cr. MOU 1992, commissioned Oct 2006.",Jaypee env clearance (Alaknanda above Vishnuprayag),1058.217232656479,1383.3326737880707,43.405639266967775,73.98709869384766,99.74050436019897,133.77006149291992,34.9,46.0,10.5,16.0,5.8,9.0,3.1,31.0,0.0,0.0,43.3,74.0,29.3,44.0,183.4600799560547,320.0048885345459,55.59611854553223,193.89447021484375,7.684947223358598
maneri_bhali_I,uttarakhand,30.7411,78.4422,4693,30.8014,78.5014,1984,1973,90.0,39,19.0,79.34,7.0,11.0,V,10,0,IR,NO,8600,1093,127,Large,,100,SG,Low/Unknown,"Stage I, commissioned 1984. Initial ~Rs19cr estimate, final Rs79.34cr per Irrigation Dept. Tunnel had face collapse, water ingress, squeezing documented.",UJVNL / CWE Journal (same dam as maneri bhali I),1460.0226360559464,2279.1385164260864,62.85838254292806,107.10066223144533,151.77862145503363,251.00884628295898,51.416666666666664,76.0,19.5,39.0,12.583333333333334,26.0,8.0,96.0,0.16666666666666666,2.0,56.75,91.0,43.75,87.0,271.1126073201497,868.4279747009277,111.93597094217937,538.0687866210938,10.466112086422555
